Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities_Account,CD_Account,Online,CreditCard,Card_Income_ratio,Personal_Loan
44,20,171,4,0.7,1,567,0,1,1,1,0.04912280701754385,1
62,38,50,2,1.1,1,0,0,0,0,1,0.264,0
35,9,40,3,0.9,1,0,0,0,1,0,0.27,0
42,18,52,2,2.5,1,0,0,0,0,0,0.5769230769230769,0
38,13,129,4,4.4,1,140,0,0,0,0,0.4093023255813954,1
43,18,38,1,0.5,3,144,0,0,1,0,0.15789473684210525,0
44,20,62,3,0.3,3,0,0,0,0,1,0.058064516129032254,0
62,37,50,3,1.5,1,169,0,0,1,0,0.36,0
52,27,93,4,4.1,2,0,0,0,0,1,0.529032258064516,1
41,16,154,1,7.0,1,0,0,0,0,1,0.5454545454545454,0
45,15,20,1,0.75,3,0,0,0,1,0,0.45,0
57,32,13,4,0.9,2,78,1,0,1,0,0.8307692307692308,0
48,22,80,2,2.4,2,0,0,0,1,0,0.36,0
28,3,85,1,0.8,2,0,0,0,1,1,0.11294117647058825,0
55,31,74,2,3.2,3,0,0,0,1,1,0.518918918918919,0
48,22,78,3,2.1,1,0,0,0,1,1,0.3230769230769231,0
51,25,163,2,1.3,3,0,0,0,1,0,0.09570552147239264,1
43,18,89,1,0.1,2,307,0,0,0,1,0.013483146067415732,0
47,23,170,2,6.5,2,0,0,1,1,1,0.4588235294117647,1
61,35,35,2,0.2,3,0,0,0,1,0,0.06857142857142857,0
52,27,78,4,3.6,3,141,0,0,1,0,0.5538461538461539,0
62,36,183,2,3.4,3,0,0,0,0,0,0.22295081967213112,1
32,8,141,2,4.33,1,0,0,0,0,0,0.36851063829787234,0
37,11,32,2,1.4,3,0,1,0,1,0,0.5249999999999999,0
57,33,9,1,0.1,2,91,1,0,1,0,0.13333333333333336,0
55,30,64,2,1.9,2,0,0,0,0,0,0.35624999999999996,0
44,19,40,4,0.0,2,0,0,0,1,0,0.0,0
41,16,114,4,3.5,1,0,0,0,0,1,0.3684210526315789,1
61,35,28,2,0.2,3,135,0,0,1,0,0.08571428571428573,0
63,39,24,2,0.3,3,0,0,0,0,0,0.15,0
29,5,62,1,1.2,1,260,0,0,1,0,0.23225806451612901,0
43,17,45,2,0.7,1,0,0,0,0,0,0.18666666666666665,0
49,24,39,3,1.7,2,0,1,0,1,0,0.523076923076923,0
30,4,60,4,2.2,2,0,0,0,1,0,0.44000000000000006,0
54,29,74,3,2.0,2,0,0,0,0,0,0.32432432432432434,0
27,3,20,4,1.0,1,134,0,0,1,1,0.6,0
59,29,45,3,2.0,3,0,0,0,1,0,0.5333333333333333,0
62,36,115,2,2.8,1,202,0,0,1,1,0.29217391304347823,0
44,19,30,1,0.5,3,0,0,0,1,0,0.2,0
54,30,133,1,5.0,2,0,0,0,0,1,0.45112781954887216,1
40,10,29,1,0.75,3,0,0,0,1,0,0.3103448275862069,0
46,19,59,3,2.67,2,0,0,0,0,0,0.5430508474576271,0
30,6,115,4,3.8,2,0,0,0,1,0,0.39652173913043476,1
31,5,43,1,1.5,1,0,0,0,0,0,0.4186046511627907,0
31,7,135,4,3.8,2,0,0,1,1,1,0.33777777777777773,1
48,22,42,3,2.2,2,0,0,0,0,0,0.6285714285714287,0
57,33,15,2,0.3,1,0,0,0,1,0,0.23999999999999996,0
